date,google_trends,twitter,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend,date
2020-02-02,1,1,1,7.0844883503348e-21,5.285028309349761e-18,1,2020-02-02
2020-02-03,1,1,1,3.402785358037557e-19,2.3411163263298393e-16,1,2020-02-03
2020-02-04,1,1,1,1.0343912196973785e-17,6.268410791366114e-15,1,2020-02-04
2020-02-05,1,1,1,1.6352855074707354e-16,8.947396102642285e-14,1,2020-02-05
2020-02-06,1,1,1,1.1642816206738404e-15,5.635123044061388e-13,1,2020-02-06
2020-02-07,1,1,1,4.334464775055829e-15,1.9461746840000674e-12,1,2020-02-07
2020-02-08,1,1,1,1.3442265405973281e-14,5.780174124568511e-12,1,2020-02-08
2020-02-09,1,1,1,1.8661817296657032e-14,7.819301447299297e-12,1,2020-02-09
2020-02-10,1,1,1,1.1501743136651487e-14,4.980254778170094e-12,1,2020-02-10
2020-02-11,0,1,0,100.0,1.0,0,2020-02-11
2020-02-12,0,1,0,100.0,1.0,0,2020-02-12
2020-02-13,0,1,0,100.0,1.0,0,2020-02-13
2020-02-14,-1,1,0,100.0,1.0,0,2020-02-14
2020-02-15,-1,1,0,100.0,1.0,0,2020-02-15
2020-02-16,-1,1,0,100.0,1.0,0,2020-02-16
2020-02-17,-1,1,0,100.0,1.0,0,2020-02-17
2020-02-18,-1,1,0,100.0,1.0,0,2020-02-18
2020-02-19,-1,1,0,100.0,1.0,0,2020-02-19
2020-02-20,-1,1,0,100.0,1.0,0,2020-02-20
2020-02-21,-1,1,0,100.0,1.0,0,2020-02-21
2020-02-22,-1,1,0,100.0,1.0,0,2020-02-22
2020-02-23,-1,1,0,100.0,1.0,0,2020-02-23
2020-02-24,-1,1,0,100.0,1.0,0,2020-02-24
2020-02-25,-1,1,0,100.0,1.0,0,2020-02-25
2020-02-26,-1,1,0,100.0,1.0,0,2020-02-26
2020-02-27,-1,1,0,100.0,1.0,0,2020-02-27
2020-02-28,-1,1,0,100.0,1.0,0,2020-02-28
2020-02-29,-1,1,0,100.0,1.0,0,2020-02-29
2020-03-01,-1,1,0,100.0,1.0,0,2020-03-01
2020-03-02,-1,1,0,100.0,1.0,0,2020-03-02
2020-03-03,-1,1,0,100.0,1.0,0,2020-03-03
2020-03-04,-1,1,0,100.0,1.0,0,2020-03-04
2020-03-05,-1,1,0,100.0,1.0,0,2020-03-05
2020-03-06,-1,1,0,100.0,1.0,0,2020-03-06
2020-03-07,-1,1,0,100.0,1.0,0,2020-03-07
2020-03-08,-1,1,0,100.0,1.0,0,2020-03-08
2020-03-09,-1,1,0,100.0,1.0,0,2020-03-09
2020-03-10,-1,1,0,100.0,1.0,0,2020-03-10
2020-03-11,-1,1,0,100.0,1.0,0,2020-03-11
2020-03-12,-1,1,0,100.0,1.0,0,2020-03-12
2020-03-13,-1,1,0,100.0,1.0,0,2020-03-13
2020-03-14,-1,1,0,100.0,1.0,0,2020-03-14
2020-03-15,-1,0,0,100.0,1.0,0,2020-03-15
2020-03-16,-1,-1,-1,9.173855843267929e-20,6.513437648720229e-17,-1,2020-03-16
2020-03-17,-1,-1,-1,1.4723547896431982e-19,1.0321207075398819e-16,-1,2020-03-17
2020-03-18,-1,-1,-1,1.640034097987003e-16,8.954586175009036e-14,-1,2020-03-18
2020-03-19,-1,-1,-1,3.654404518515789e-15,1.6737172694802316e-12,-1,2020-03-19
2020-03-20,-1,-1,-1,3.4338037984327904e-14,1.3975581459621456e-11,-1,2020-03-20
2020-03-21,-1,-1,-1,3.4629267970376284e-14,1.4024853528002396e-11,-1,2020-03-21
2020-03-22,-1,-1,-1,4.5474866293504865e-15,2.0327265233196674e-12,-1,2020-03-22
2020-03-23,-1,-1,-1,1.217735592755159e-16,6.74625518386358e-14,-1,2020-03-23
2020-03-24,-1,-1,-1,2.066355653376655e-17,1.2088180572253431e-14,-1,2020-03-24
2020-03-25,-1,-1,-1,3.58717877542955e-15,1.6465150579221635e-12,-1,2020-03-25
2020-03-26,-1,-1,-1,2.442690722069119e-16,1.2995114641407713e-13,-1,2020-03-26
2020-03-27,-1,-1,-1,7.768081522966899e-16,3.860736516914549e-13,-1,2020-03-27
2020-03-28,-1,-1,-1,2.3930411437316455e-15,1.1199432552664102e-12,-1,2020-03-28
2020-03-29,-1,-1,-1,1.3565351283137623e-14,5.81953570046604e-12,-1,2020-03-29
2020-03-30,-1,-1,-1,2.2550511566796394e-13,8.614295418516222e-11,-1,2020-03-30
2020-03-31,-1,-1,-1,6.756296732906892e-15,2.9660142657461256e-12,-1,2020-03-31
2020-04-01,-1,-1,-1,1.716546842254821e-16,9.30368388502113e-14,-1,2020-04-01
2020-04-02,-1,-1,-1,2.9382450284298606e-16,1.542578639925677e-13,-1,2020-04-02
2020-04-03,-1,-1,-1,1.792514719188006e-17,1.0593761990401115e-14,-1,2020-04-03
2020-04-04,-1,-1,-1,6.815081249709879e-20,4.906858499791113e-17,-1,2020-04-04
2020-04-05,-1,-1,-1,3.40241857294747e-22,2.6879106726285012e-19,-1,2020-04-05
2020-04-06,-1,-1,-1,1.350192525737337e-24,1.1206597963619899e-21,-1,2020-04-06
2020-04-07,-1,-1,-1,2.135897986900234e-27,1.8219209828258997e-24,-1,2020-04-07
2020-04-08,-1,-1,-1,5.981994405975817e-30,5.126569205921275e-27,-1,2020-04-08
2020-04-09,0,-1,0,100.0,1.0,0,2020-04-09
2020-04-10,0,-1,0,100.0,1.0,0,2020-04-10
2020-04-11,0,-1,0,100.0,1.0,0,2020-04-11
2020-04-12,0,-1,0,100.0,1.0,0,2020-04-12
2020-04-13,-1,-1,-1,2.1878246220225085e-19,1.518350287683621e-16,-1,2020-04-13
2020-04-14,-1,-1,-1,4.578960809860945e-20,3.3426413911984896e-17,-1,2020-04-14
2020-04-15,-1,-1,-1,3.0460584035477017e-21,2.3241425619068963e-18,-1,2020-04-15
2020-04-16,-1,-1,-1,1.5235067352828505e-22,1.2157583747557147e-19,-1,2020-04-16
2020-04-17,-1,-1,-1,5.717265862503007e-24,4.711027070702478e-21,-1,2020-04-17
2020-04-18,-1,-1,-1,3.806525453374038e-25,3.182255279020696e-22,-1,2020-04-18
2020-04-19,-1,-1,-1,6.231088983289001e-26,5.2528080129126276e-23,-1,2020-04-19
2020-04-20,-1,-1,-1,5.649191054953428e-26,4.7735664414356466e-23,-1,2020-04-20
2020-04-21,-1,-1,-1,1.784709923564029e-25,1.4955869159466561e-22,-1,2020-04-21
2020-04-22,-1,-1,-1,8.471789647051882e-25,7.057000775994218e-22,-1,2020-04-22
2020-04-23,-1,-1,-1,5.91314719957062e-24,4.8606069980470494e-21,-1,2020-04-23
2020-04-24,-1,-1,-1,6.330391881021366e-23,5.127617423627307e-20,-1,2020-04-24
2020-04-25,0,-1,0,100.0,1.0,0,2020-04-25
2020-04-26,1,-1,0,100.0,1.0,0,2020-04-26
2020-04-27,-1,-1,-1,3.697391062319574e-20,2.7212798218672063e-17,-1,2020-04-27
2020-04-28,-1,-1,-1,8.633463058404313e-20,6.155659160642276e-17,-1,2020-04-28
2020-04-29,-1,-1,-1,7.752826064498007e-20,5.551023462180573e-17,-1,2020-04-29
2020-04-30,0,-1,0,100.0,1.0,0,2020-04-30
2020-05-01,0,-1,0,100.0,1.0,0,2020-05-01
2020-05-02,0,-1,0,100.0,1.0,0,2020-05-02
2020-05-03,-1,-1,-1,8.489811854369319e-19,5.662704506864336e-16,-1,2020-05-03
2020-05-04,-1,-1,-1,4.2611903877516676e-20,3.114930173446469e-17,-1,2020-05-04
2020-05-05,-1,-1,-1,3.4155056504911473e-23,2.7768060938493027e-20,-1,2020-05-05
2020-05-06,-1,-1,-1,5.258119090115366e-24,4.343206368435292e-21,-1,2020-05-06
2020-05-07,-1,-1,-1,2.861131244924518e-22,2.2631548147352936e-19,-1,2020-05-07
2020-05-08,-1,-1,-1,4.5432157240946e-21,3.439214303139612e-18,-1,2020-05-08
2020-05-09,-1,-1,-1,6.680447441055025e-23,5.404481979813515e-20,-1,2020-05-09
2020-05-10,-1,-1,-1,1.3194851994440603e-25,1.1083675675330107e-22,-1,2020-05-10
2020-05-11,-1,-1,-1,5.713907454954081e-26,4.8225378919812447e-23,-1,2020-05-11
2020-05-12,-1,-1,-1,1.8360358807995802e-23,1.4982052787324574e-20,-1,2020-05-12
2020-05-13,-1,-1,-1,4.633241713075184e-21,3.502730735084839e-18,-1,2020-05-13
2020-05-14,-1,-1,-1,4.2928976423378834e-19,2.932049089716774e-16,-1,2020-05-14
2020-05-15,-1,-1,-1,1.1632400641969977e-17,6.979440385181986e-15,-1,2020-05-15
2020-05-16,-1,-1,-1,1.1267010669172986e-18,7.424960030984998e-16,-1,2020-05-16
2020-05-17,-1,-1,-1,1.5490271603349236e-21,1.197397994938896e-18,-1,2020-05-17
2020-05-18,-1,-1,-1,1.1222927305968424e-20,8.361080842946477e-18,-1,2020-05-18
2020-05-19,-1,-1,-1,1.4914755458884647e-21,1.1544020725176717e-18,-1,2020-05-19
2020-05-20,-1,-1,-1,5.811048995622864e-22,4.561673461563948e-19,-1,2020-05-20
2020-05-21,-1,-1,-1,1.977327406468969e-21,1.5185874481681682e-18,-1,2020-05-21
2020-05-22,-1,-1,-1,2.2351711102413922e-21,1.7076707282244236e-18,-1,2020-05-22
2020-05-23,-1,-1,-1,3.796514051195271e-20,2.7904378276285244e-17,-1,2020-05-23
2020-05-24,-1,-1,-1,3.8005196631750476e-20,2.7904378276285244e-17,-1,2020-05-24
2020-05-25,-1,-1,-1,4.861580714678162e-20,3.539230760285702e-17,-1,2020-05-25
2020-05-26,-1,-1,-1,7.373831942445453e-20,5.2944113346758355e-17,-1,2020-05-26
2020-05-27,-1,-1,-1,2.09861246379442e-20,1.5571704481354595e-17,-1,2020-05-27
2020-05-28,-1,-1,-1,7.401312883163651e-22,5.765622735984484e-19,-1,2020-05-28
2020-05-29,-1,-1,-1,7.2981207640718e-23,5.896881577370014e-20,-1,2020-05-29
2020-05-30,-1,-1,-1,2.0016209146717904e-21,1.5352432415532632e-18,-1,2020-05-30
2020-05-31,-1,-1,-1,3.9008804633466594e-19,2.6721031173924616e-16,-1,2020-05-31
2020-06-01,-1,-1,-1,6.230921884695632e-18,3.819555115318422e-15,-1,2020-06-01
2020-06-02,0,0,0,100.0,1.0,0,2020-06-02
2020-06-03,0,1,0,100.0,1.0,0,2020-06-03
2020-06-04,0,1,0,100.0,1.0,0,2020-06-04
2020-06-05,1,1,1,8.399108860158105e-26,7.072049660253124e-23,1,2020-06-05
2020-06-06,1,1,1,2.8280374807084785e-20,2.087091660762857e-17,1,2020-06-06
2020-06-07,1,1,1,1.9617424576283854e-17,1.1535045650854905e-14,1,2020-06-07
2020-06-08,1,1,1,2.5291518133549173e-19,1.7527022066549578e-16,1,2020-06-08
2020-06-09,1,1,1,1.5799592200364926e-20,1.1754896597071505e-17,1,2020-06-09
2020-06-10,1,1,1,2.8063889749385677e-19,1.9392147816825503e-16,1,2020-06-10
2020-06-11,1,1,1,3.988827580903907e-20,2.923810616802564e-17,1,2020-06-11
2020-06-12,1,1,1,4.7135029843051284e-20,3.4361436755584386e-17,1,2020-06-12
2020-06-13,1,1,1,1.1151500289425206e-18,7.371141691310061e-16,1,2020-06-13
2020-06-14,1,1,1,1.8069426059783054e-18,1.1672849234619853e-15,1,2020-06-14
2020-06-15,1,1,1,6.24712131729942e-19,4.2105597678598096e-16,1,2020-06-15
2020-06-16,1,1,1,4.941889613197609e-20,3.592753748794662e-17,1,2020-06-16
2020-06-17,1,1,1,3.3230550254021375e-20,2.4490915537213753e-17,1,2020-06-17
2020-06-18,1,1,1,5.416494974513118e-18,3.347393894249107e-15,1,2020-06-18
2020-06-19,1,1,1,7.285448314804531e-16,3.65000960571707e-13,1,2020-06-19
2020-06-20,1,1,1,1.7589523814547773e-14,7.42277904973916e-12,1,2020-06-20
2020-06-21,1,1,1,2.0704670642680188e-13,7.950593526789192e-11,1,2020-06-21
2020-06-22,1,1,1,8.114185637029513e-13,3.0265912426120084e-10,1,2020-06-22
2020-06-23,1,1,1,1.9009013424496608e-14,7.945767611439582e-12,1,2020-06-23
2020-06-24,1,1,1,5.3884783843415834e-15,2.3978728810320048e-12,1,2020-06-24
2020-06-25,1,1,1,2.6793149297960078e-14,1.1092363809355472e-11,1,2020-06-25
2020-06-26,1,1,1,5.398369186055554e-13,2.0351851831429438e-10,1,2020-06-26
2020-06-27,1,1,1,7.462991585096026e-15,3.268790314272059e-12,1,2020-06-27
2020-06-28,1,1,1,1.2852645780308703e-16,7.094660470730404e-14,1,2020-06-28
2020-06-29,1,1,1,2.297788156584711e-18,1.4751799965273844e-15,1,2020-06-29
2020-06-30,1,1,1,1.7054250327657027e-19,1.1903866728704604e-16,1,2020-06-30
2020-07-01,1,1,1,8.308451286062149e-20,5.932234218248374e-17,1,2020-07-01
2020-07-02,1,1,1,9.260479547194552e-20,6.565679998960937e-17,1,2020-07-02
2020-07-03,1,1,1,8.201928115245589e-20,5.864378602400596e-17,1,2020-07-03
2020-07-04,1,1,1,8.8684672773684e-20,6.314348701486301e-17,1,2020-07-04
2020-07-05,1,1,1,2.8338493226428656e-19,1.9553560326235771e-16,1,2020-07-05
2020-07-06,1,1,1,1.0161078326795454e-18,6.72663385233859e-16,1,2020-07-06
2020-07-07,1,1,1,1.884294619561667e-18,1.2153700296172753e-15,1,2020-07-07
2020-07-08,1,1,1,2.358889521705572e-18,1.5120481834132717e-15,1,2020-07-08
2020-07-09,1,1,1,1.6721816673881733e-18,1.0835737204675363e-15,1,2020-07-09
2020-07-10,0,1,0,100.0,1.0,0,2020-07-10
2020-07-11,0,1,0,100.0,1.0,0,2020-07-11
2020-07-12,0,1,0,100.0,1.0,0,2020-07-12
2020-07-13,1,1,1,8.433408379274432e-19,5.633516797355321e-16,1,2020-07-13
2020-07-14,1,1,1,3.373998655280886e-16,1.7477313034354988e-13,1,2020-07-14
2020-07-15,1,1,1,3.2478803923167376e-14,1.3283830804575457e-11,1,2020-07-15
2020-07-16,1,1,1,1.3733683982662502e-13,5.328669385273051e-11,1,2020-07-16
2020-07-17,1,1,1,2.698006416629178e-13,1.0279404447357168e-10,1,2020-07-17
2020-07-18,1,1,1,3.907292373632676e-14,1.5746388265739684e-11,1,2020-07-18
2020-07-19,1,1,1,7.380116163651775e-16,3.685051638861359e-13,1,2020-07-19
2020-07-20,1,1,1,2.269228631665051e-17,1.3252295208923898e-14,1,2020-07-20
2020-07-21,1,1,1,1.470082911125237e-18,9.599641409647798e-16,1,2020-07-21
2020-07-22,1,1,1,3.638208302294694e-21,2.765038309743967e-18,1,2020-07-22
2020-07-23,1,1,1,2.0350717607501908e-22,1.6199171215571518e-19,1,2020-07-23
2020-07-24,1,1,1,2.3702700774374155e-22,1.8843647115627453e-19,1,2020-07-24
2020-07-25,1,1,1,2.5066318748052393e-22,1.99026570859536e-19,1,2020-07-25
2020-07-26,1,1,1,6.253782362897691e-22,4.8967115901488925e-19,1,2020-07-26
2020-07-27,1,1,1,1.1792674591891372e-19,8.290250238099635e-17,1,2020-07-27
2020-07-28,1,1,1,1.580082047632063e-17,9.417289003887095e-15,1,2020-07-28
2020-07-29,1,1,1,5.967103255368536e-16,3.0193542472164793e-13,1,2020-07-29
2020-07-30,1,1,1,6.108411126349777e-16,3.0847476188066373e-13,1,2020-07-30
2020-07-31,1,1,1,1.6576366964367556e-15,7.923503408967692e-13,1,2020-07-31
2020-08-01,1,1,1,4.952712968010015e-16,2.540741752589138e-13,1,2020-08-01
2020-08-02,1,1,1,8.46188585578516e-17,4.747117965095475e-14,1,2020-08-02
2020-08-03,1,1,1,6.469162489213736e-18,3.959127443398806e-15,1,2020-08-03
2020-08-04,1,1,1,1.814107715025559e-19,1.2644330773728146e-16,1,2020-08-04
2020-08-05,1,1,1,5.0766428641485086e-21,3.817635433839679e-18,1,2020-08-05
2020-08-06,1,1,1,2.473106047822109e-20,1.8325715814361828e-17,1,2020-08-06
2020-08-07,1,1,1,3.637977981718683e-18,2.3028400624279267e-15,1,2020-08-07
2020-08-08,1,1,1,2.0896898269532702e-16,1.1263428167278126e-13,1,2020-08-08
2020-08-09,1,1,1,3.901910970636741e-15,1.779271402610354e-12,1,2020-08-09
2020-08-10,1,1,1,1.728890196163585e-14,7.3304944317336e-12,1,2020-08-10
2020-08-11,1,1,1,2.16361102909263e-15,1.0147335726444434e-12,1,2020-08-11
2020-08-12,1,1,1,2.89292609811165e-17,1.6634325064141988e-14,1,2020-08-12
2020-08-13,1,1,1,1.0403465065154647e-19,7.334442870934026e-17,1,2020-08-13
2020-08-14,1,1,1,1.9503855680416423e-20,1.4491364770549403e-17,1,2020-08-14
2020-08-15,1,1,1,3.2482787153399793e-18,2.0626569842408867e-15,1,2020-08-15
2020-08-16,1,1,1,2.111960092768655e-16,1.1362345299095364e-13,1,2020-08-16
2020-08-17,1,1,1,2.657012856483598e-15,1.2328539654083895e-12,1,2020-08-17
2020-08-18,1,1,1,2.7550900305647436e-16,1.4574426261687494e-13,1,2020-08-18
2020-08-19,1,1,1,2.3863612582194916e-16,1.2743169118892085e-13,1,2020-08-19
2020-08-20,1,1,1,1.6067048384513717e-15,7.712183224566585e-13,1,2020-08-20
2020-08-21,1,0,0,100.0,1.0,0,2020-08-21
2020-08-22,1,0,0,100.0,1.0,0,2020-08-22
2020-08-23,1,-1,0,100.0,1.0,0,2020-08-23
2020-08-24,1,-1,0,100.0,1.0,0,2020-08-24
2020-08-25,1,-1,0,100.0,1.0,0,2020-08-25
2020-08-26,1,-1,0,100.0,1.0,0,2020-08-26
2020-08-27,0,-1,0,100.0,1.0,0,2020-08-27
2020-08-28,0,-1,0,100.0,1.0,0,2020-08-28
2020-08-29,-1,-1,-1,4.638015512502141e-12,1.706789708600788e-09,-1,2020-08-29
2020-08-30,-1,-1,-1,2.2277539490961892e-13,8.532297625038405e-11,-1,2020-08-30
2020-08-31,-1,-1,-1,1.1251347081953858e-15,5.468154681829575e-13,-1,2020-08-31
2020-09-01,-1,-1,-1,1.4942936314802054e-18,9.74279447725094e-16,-1,2020-09-01
2020-09-02,-1,-1,-1,1.6076089922828032e-19,1.1253262945979623e-16,-1,2020-09-02
2020-09-03,-1,-1,-1,3.754695028516733e-18,2.3729672580225755e-15,-1,2020-09-03
2020-09-04,-1,-1,-1,4.4886712677644543e-17,2.5630312938935035e-14,-1,2020-09-04
2020-09-05,-1,0,0,100.0,1.0,0,2020-09-05
2020-09-06,-1,0,0,100.0,1.0,0,2020-09-06
2020-09-07,-1,1,0,100.0,1.0,0,2020-09-07
2020-09-08,-1,1,0,100.0,1.0,0,2020-09-08
2020-09-09,-1,1,0,100.0,1.0,0,2020-09-09
2020-09-10,-1,1,0,100.0,1.0,0,2020-09-10
2020-09-11,-1,1,0,100.0,1.0,0,2020-09-11
2020-09-12,-1,1,0,100.0,1.0,0,2020-09-12
2020-09-13,-1,1,0,100.0,1.0,0,2020-09-13
2020-09-14,-1,1,0,100.0,1.0,0,2020-09-14
2020-09-15,-1,1,0,100.0,1.0,0,2020-09-15
2020-09-16,-1,1,0,100.0,1.0,0,2020-09-16
2020-09-17,-1,1,0,100.0,1.0,0,2020-09-17
2020-09-18,-1,1,0,100.0,1.0,0,2020-09-18
2020-09-19,-1,1,0,100.0,1.0,0,2020-09-19
2020-09-20,-1,1,0,100.0,1.0,0,2020-09-20
2020-09-21,-1,1,0,100.0,1.0,0,2020-09-21
2020-09-22,-1,1,0,100.0,1.0,0,2020-09-22
2020-09-23,-1,1,0,100.0,1.0,0,2020-09-23
2020-09-24,-1,1,0,100.0,1.0,0,2020-09-24
2020-09-25,-1,1,0,100.0,1.0,0,2020-09-25
2020-09-26,-1,1,0,100.0,1.0,0,2020-09-26
2020-09-27,-1,1,0,100.0,1.0,0,2020-09-27
2020-09-28,0,1,0,100.0,1.0,0,2020-09-28
2020-09-29,1,1,1,1.5122590700245847e-14,6.457346229004977e-12,1,2020-09-29
2020-09-30,1,1,1,2.472653092868434e-14,1.0261510335404002e-11,1,2020-09-30
2020-10-01,1,1,1,5.504426410328097e-14,2.1852572849002544e-11,1,2020-10-01
2020-10-02,1,1,1,1.0173484120270659e-13,3.957485322785286e-11,1,2020-10-02
2020-10-03,1,1,1,1.4055199579065274e-14,6.015625419839937e-12,1,2020-10-03
2020-10-04,1,1,1,8.502470284736118e-16,4.2002203206596427e-13,1,2020-10-04
2020-10-05,1,1,1,4.0232600447713296e-15,1.8265600603261838e-12,1,2020-10-05
2020-10-06,1,1,1,4.09238396136861e-14,1.6451383524701813e-11,1,2020-10-06
2020-10-07,0,1,0,100.0,1.0,0,2020-10-07
2020-10-08,0,1,0,100.0,1.0,0,2020-10-08
2020-10-09,0,1,0,100.0,1.0,0,2020-10-09
2020-10-10,0,1,0,100.0,1.0,0,2020-10-10
2020-10-11,0,1,0,100.0,1.0,0,2020-10-11
2020-10-12,-1,1,0,100.0,1.0,0,2020-10-12
2020-10-13,0,0,0,100.0,1.0,0,2020-10-13
2020-10-14,0,0,0,100.0,1.0,0,2020-10-14
2020-10-15,0,0,0,100.0,1.0,0,2020-10-15
2020-10-16,0,-1,0,100.0,1.0,0,2020-10-16
2020-10-17,1,-1,0,100.0,1.0,0,2020-10-17
2020-10-18,1,-1,0,100.0,1.0,0,2020-10-18
2020-10-19,0,-1,0,100.0,1.0,0,2020-10-19
2020-10-20,0,-1,0,100.0,1.0,0,2020-10-20
2020-10-21,-1,-1,-1,1.601710848082313e-16,8.793392555971898e-14,-1,2020-10-21
2020-10-22,-1,-1,-1,2.4229563091747904e-17,1.4077376156305532e-14,-1,2020-10-22
2020-10-23,-1,-1,-1,2.7817952974936085e-16,1.4687879170766253e-13,-1,2020-10-23
2020-10-24,-1,-1,-1,1.8565677477841778e-15,8.837262479452686e-13,-1,2020-10-24
2020-10-25,-1,-1,-1,5.4860192013762965e-15,2.4357925254110756e-12,-1,2020-10-25
2020-10-26,-1,-1,-1,1.7382341674991695e-14,7.352730528521487e-12,-1,2020-10-26
2020-10-27,-1,-1,-1,3.210900768403993e-16,1.6760902011068845e-13,-1,2020-10-27
2020-10-28,-1,-1,-1,4.727371805775283e-14,1.8956760941158885e-11,-1,2020-10-28
2020-10-29,-1,-1,-1,1.5668370949900887e-12,5.812965622413229e-10,-1,2020-10-29
2020-10-30,-1,-1,-1,9.377478251578234e-12,3.4321570400776337e-09,-1,2020-10-30
2020-10-31,-1,-1,-1,7.285623632092701e-11,2.6373957548175578e-08,-1,2020-10-31
2020-11-01,-1,-1,-1,8.02883037264678e-12,2.9465807467613685e-09,-1,2020-11-01
